aU_z,aT_z,aL_z,ep,n_days,cls
-0.566108120207583,0.1666060930529415,0.5562270618931885,276,4,3-4
-0.4821085915707042,-0.0863009584109442,0.20039352027461166,278,3,3-4
4.301643421844831,-2.0451596055097703,-2.105086868715783,282,5,5-7
0.4111134110791609,0.10405350775250938,0.41027249846233843,286,8,8-14
-0.4507340153691314,-0.49518900403114696,0.6778444684131115,290,5,5-7
1.6018670621614068,-0.17745081082452885,0.7351368960908117,291,5,5-7
2.4790528489035752,-0.7247388943328253,1.5952250856743588,295,3,3-4
-0.9161714810048074,-0.1664792402639148,0.8595661026389516,301,5,5-7
2.055120235224928,0.011343250556030582,1.2872794172697664,312,3,3-4
-1.051508906077633,0.649576686361667,-1.5494080293383865,313,3,3-4
0.5152310778649988,0.7239068421758766,-0.16752699542380733,317,9,8-14
0.7512207784090289,0.05542601632190894,0.27185074930864644,326,3,3-4
0.8882791485674578,0.10288111329441922,0.2872950471846369,329,9,8-14
1.9853348439742848,0.7909930299223994,1.3349429930185912,333,7,5-7
-0.40756087396314,0.1681188350200639,-0.18301488377777492,334,3,3-4
-0.15825299021236633,-0.18481629104710598,1.3178410820663955,335,18,15+
1.3364560662531222,0.4649472862539043,-0.38881360069805604,337,3,3-4
-0.012498977496151725,-0.3045197143231601,0.04533906772654128,338,5,5-7
0.7928092438680212,0.565811920607205,0.13743267715742985,344,3,3-4
-0.6866505319596082,0.3316905514747167,0.2925446171614727,345,5,5-7
-1.0042383975858913,0.45480901208293734,1.1949470955815082,349,3,3-4
-0.9708182480386613,-0.060411635605186476,0.7203152936563277,350,15,15+
1.251733336886271,0.37801524843903234,-0.5013590111460386,351,3,3-4
-0.5705771967789569,0.8613204558739128,0.37941220468979375,356,5,5-7
0.9390583298876762,0.15060028162671257,0.5389834453544399,363,4,3-4
-0.10173113275003742,-0.23085194192241743,-1.9246645513034963,368,4,3-4
-1.2187444344927343,0.1311159268042158,0.9754046688440947,371,5,5-7
0.12255529388516456,0.24213742371655178,-0.2770808567487065,372,4,3-4
1.643249732737127,-0.03539520527317408,-1.0787538652378004,379,11,8-14
0.4247718696714863,0.2886378845825457,0.6476936501206818,380,3,3-4
0.0985531609567058,0.6043351820376184,1.0093436462522594,384,3,3-4
-0.09279604188671714,-0.0050237931006851255,-0.3070055026894428,385,3,3-4
0.728535130536806,0.36987188360486933,-0.4800007031001634,386,3,3-4
0.9358701457581218,0.263656343302217,-1.085140237153873,389,5,5-7
2.6479236905132275,-0.1418853763339789,-2.516677172519381,391,23,15+
-0.7682329605664402,0.9521747363544187,-0.4074588508877477,392,3,3-4
0.6851410909835165,0.7930860508221669,0.4797365750291856,393,5,5-7
0.6580456944841604,0.08967623947761438,-0.008901574867184459,394,5,5-7
-0.44448637272012614,-0.11716559750930133,-0.13877994499928215,395,5,5-7
0.20474310724146355,0.5591704814712991,-0.3293814768059934,397,31,15+
-0.003838358601016223,0.16716875423949662,0.44262064314600374,398,3,3-4
0.43646082523568924,0.07093409697513842,-0.6829381447011931,400,5,5-7
-0.6534326022822701,-0.032977838694292716,0.04607621089614977,404,8,8-14
6.216406927549691,-0.2523655149538151,-2.0975635955521432,405,16,15+
-0.5985356774542202,-0.20750481366095808,0.7408769848651472,411,4,3-4
1.25415418259021,-0.01367165440330842,-0.10867867173653388,413,12,8-14
-0.9543722158174373,0.009706755559232727,1.6130081362587378,414,5,5-7
